Model,Top_Ticker_1,Top_Ticker_2,Accuracy_1,Precision_1,Accuracy_2,Precision_2
Random Forest,TSLA,DLTR,0.4926921263554927,0.5459817729908865,0.4926921263554927,0.5459817729908865
XGBoost,TSLA,TGT,0.5266383781235267,0.5561005518087063,0.5266383781235267,0.5561005518087063
