Date,Open,High,Low,Close,Volume,Adj Close
2023-11-08,182.35000610351562,183.4499969482422,181.58999633789062,182.88999938964844,49287300,182.88999938964844
2023-11-07,179.17999267578125,182.44000244140625,178.97000122070312,181.82000732421875,70530000,181.82000732421875
2023-11-06,176.3800048828125,179.42999267578125,176.2100067138672,179.22999572753906,63841300,179.22999572753906
2023-11-03,174.24000549316406,176.82000732421875,173.35000610351562,176.64999389648438,79763700,176.64999389648438
2023-11-02,175.52000427246094,177.77999877929688,175.4600067138672,177.57000732421875,77334800,177.57000732421875
2023-11-01,171.0,174.22999572753906,170.1199951171875,173.97000122070312,56934900,173.97000122070312
2023-10-31,169.35000610351562,170.89999389648438,167.89999389648438,170.77000427246094,44846000,170.77000427246094
2023-10-30,169.02000427246094,171.1699981689453,168.8699951171875,170.2899932861328,51131000,170.2899932861328
2023-10-27,166.91000366210938,168.9600067138672,166.8300018310547,168.22000122070312,58499100,168.22000122070312
2023-10-26,170.3699951171875,171.3800048828125,165.6699981689453,166.88999938964844,70625300,166.88999938964844
2023-10-25,171.8800048828125,173.05999755859375,170.64999389648438,171.10000610351562,57157000,171.10000610351562
2023-10-24,173.0500030517578,173.6699981689453,171.4499969482422,173.44000244140625,43816600,173.44000244140625
2023-10-23,170.91000366210938,174.00999450683594,169.92999267578125,173.0,55980100,173.0
2023-10-20,175.30999755859375,175.4199981689453,172.63999938964844,172.8800048828125,64189300,172.8800048828125
2023-10-19,176.0399932861328,177.83999633789062,175.19000244140625,175.4600067138672,59302900,175.4600067138672
2023-10-18,175.5800018310547,177.5800018310547,175.11000061035156,175.83999633789062,54764400,175.83999633789062
2023-10-17,176.64999389648438,178.4199981689453,174.8000030517578,177.14999389648438,57549400,177.14999389648438
2023-10-16,176.75,179.0800018310547,176.50999450683594,178.72000122070312,52517000,178.72000122070312
2023-10-13,181.4199981689453,181.92999267578125,178.13999938964844,178.85000610351562,51427100,178.85000610351562
2023-10-12,180.07000732421875,182.33999633789062,179.0399932861328,180.7100067138672,56743100,180.7100067138672
2023-10-11,178.1999969482422,179.85000610351562,177.60000610351562,179.8000030517578,47551100,179.8000030517578
2023-10-10,178.10000610351562,179.72000122070312,177.9499969482422,178.38999938964844,43698000,178.38999938964844
2023-10-09,176.80999755859375,179.0500030517578,175.8000030517578,178.99000549316406,42390800,178.99000549316406
2023-10-06,173.8000030517578,177.99000549316406,173.17999267578125,177.49000549316406,57224100,177.49000549316406
2023-10-05,173.7899932861328,175.4499969482422,172.67999267578125,174.91000366210938,48527900,174.91000366210938
2023-10-04,171.08999633789062,174.2100067138672,170.97000122070312,173.66000366210938,53020300,173.66000366210938
2023-10-03,172.25999450683594,173.6300048828125,170.82000732421875,172.39999389648438,49594600,172.39999389648438
2023-10-02,171.22000122070312,174.3000030517578,170.92999267578125,173.75,52164500,173.75
2023-09-29,172.02000427246094,173.07000732421875,170.33999633789062,171.2100067138672,51814200,171.2100067138672
2023-09-28,169.33999633789062,172.02999877929688,167.6199951171875,170.69000244140625,56294400,170.69000244140625
2023-09-27,172.6199951171875,173.0399932861328,169.0500030517578,170.42999267578125,66921800,170.42999267578125
2023-09-26,174.82000732421875,175.1999969482422,171.66000366210938,171.9600067138672,64588900,171.9600067138672
2023-09-25,174.1999969482422,176.97000122070312,174.14999389648438,176.0800018310547,46172700,176.0800018310547
2023-09-22,174.6699981689453,177.0800018310547,174.0500030517578,174.7899932861328,56725400,174.7899932861328
2023-09-21,174.5500030517578,176.3000030517578,173.86000061035156,173.92999267578125,63047900,173.92999267578125
2023-09-20,179.25999450683594,179.6999969482422,175.39999389648438,175.49000549316406,58436200,175.49000549316406
2023-09-19,177.52000427246094,179.6300048828125,177.1300048828125,179.07000732421875,51826900,179.07000732421875
2023-09-18,176.47999572753906,179.3800048828125,176.1699981689453,177.97000122070312,67257600,177.97000122070312
2023-09-15,176.47999572753906,176.5,173.82000732421875,175.00999450683594,109205100,175.00999450683594
2023-09-14,174.0,176.10000610351562,173.5800018310547,175.74000549316406,60895800,175.74000549316406
2023-09-13,176.50999450683594,177.3000030517578,173.97999572753906,174.2100067138672,84267900,174.2100067138672
2023-09-12,179.49000549316406,180.1300048828125,174.82000732421875,176.3000030517578,90370200,176.3000030517578
2023-09-11,180.07000732421875,180.3000030517578,177.33999633789062,179.36000061035156,58953100,179.36000061035156
2023-09-08,178.35000610351562,180.24000549316406,177.7899932861328,178.17999267578125,65551300,178.17999267578125
2023-09-07,175.17999267578125,178.2100067138672,173.5399932861328,177.55999755859375,112488800,177.55999755859375
